x,C#,python,C,go,java
2004.01,4,2,16,10,27
2004.02,4,2,17,9,29
2004.03,4,2,17,10,28
2004.04,4,2,17,10,29
2004.05,4,2,17,9,27
2004.06,4,2,16,10,27
2004.07,4,2,15,10,26
2004.08,5,2,15,11,25
2004.09,5,2,16,10,26
2004.1,4,2,16,11,27
2004.11,4,2,15,11,26
2004.12,4,2,15,11,25
2005.01,4,2,15,11,24
2005.02,5,2,15,11,25
2005.03,5,2,15,11,25
2005.04,5,2,16,11,24
2005.05,5,2,15,11,24
2005.06,5,2,15,11,23
2005.07,5,2,14,12,21
2005.08,5,2,14,12,21
2005.09,4,2,14,11,22
2005.1,5,3,15,12,21
2005.11,5,2,15,12,22
2005.12,4,2,14,12,20
2006.01,4,2,14,12,19
2006.02,4,2,14,12,20
2006.03,5,2,15,12,19
2006.04,4,2,14,12,19
2006.05,5,2,14,12,19
2006.06,5,2,14,12,18
2006.07,4,2,13,12,17
2006.08,5,2,13,13,17
2006.09,4,2,13,13,17
2006.1,4,2,14,12,17
2006.11,4,2,14,12,18
2006.12,4,2,13,13,17
2007.01,4,2,13,13,16
2007.02,4,2,13,13,17
2007.03,4,2,14,12,17
2007.04,4,2,14,13,16
2007.05,4,2,14,12,17
2007.06,4,2,13,12,16
2007.07,4,2,13,13,16
2007.08,4,2,13,13,15
2007.09,4,2,14,13,16
2007.1,4,2,14,13,16
2007.11,4,2,14,13,16
2007.12,4,2,15,14,15
2008.01,4,2,14,13,14
2008.02,4,2,14,14,14
2008.03,4,2,14,14,14
2008.04,4,2,14,13,14
2008.05,4,2,14,14,14
2008.06,4,2,14,14,14
2008.07,4,2,14,14,13
2008.08,4,2,13,14,13
2008.09,4,2,14,13,13
2008.1,4,2,14,14,13
2008.11,4,2,14,14,13
2008.12,4,2,13,14,13
2009.01,4,2,13,15,12
2009.02,4,2,14,14,13
2009.03,4,2,14,14,13
2009.04,4,2,14,14,13
2009.05,3,2,13,14,12
2009.06,3,2,13,16,12
2009.07,3,2,13,15,11
2009.08,3,2,13,16,11
2009.09,3,2,14,15,12
2009.1,3,2,14,16,12
2009.11,3,2,14,16,12
2009.12,3,2,13,16,11
2010.01,3,2,14,16,11
2010.02,3,2,13,15,11
2010.03,3,2,14,16,12
2010.04,3,2,14,16,11
2010.05,3,2,13,16,10
2010.06,3,2,13,16,10
2010.07,3,2,13,16,10
2010.08,3,2,13,17,10
2010.09,3,2,14,16,10
2010.1,3,2,14,16,10
2010.11,3,2,15,17,10
2010.12,3,2,14,17,10
2011.01,2,2,14,18,10
2011.02,3,2,15,18,10
2011.03,3,2,14,17,10
2011.04,3,2,14,18,10
2011.05,3,2,14,18,10
2011.06,3,2,14,19,10
2011.07,2,2,14,19,10
2011.08,2,2,14,19,10
2011.09,2,2,16,18,10
2011.1,2,2,16,18,10
2011.11,3,2,16,19,10
2011.12,2,2,15,19,9
2012.01,2,2,15,19,10
2012.02,3,2,15,18,10
2012.03,3,2,15,19,10
2012.04,3,2,15,19,10
2012.05,3,2,14,19,10
2012.06,3,2,14,19,9
2012.07,3,2,14,20,9
2012.08,3,2,14,20,10
2012.09,3,2,14,20,10
2012.1,3,2,15,19,10
2012.11,3,2,14,19,9
2012.12,2,2,13,20,9
2013.01,3,2,14,19,11
2013.02,3,2,14,20,10
2013.03,3,2,14,20,10
2013.04,3,2,13,20,10
2013.05,3,2,13,20,10
2013.06,3,2,13,19,10
2013.07,3,2,13,19,10
2013.08,2,2,13,21,9
2013.09,3,2,14,20,9
2013.1,3,2,14,20,11
2013.11,3,2,14,20,10
2013.12,2,2,14,21,9
2014.01,3,2,14,23,10
2014.02,3,2,14,23,10
2014.03,3,2,14,24,10
2014.04,3,2,14,24,10
2014.05,3,2,14,23,9
2014.06,3,2,14,23,9
2014.07,3,2,14,22,9
2014.08,2,2,13,23,9
2014.09,3,2,14,21,9
2014.1,3,2,14,21,10
2014.11,3,2,14,22,10
2014.12,2,2,14,23,9
2015.01,2,2,14,23,9
2015.02,3,2,14,23,9
2015.03,3,2,14,23,9
2015.04,3,2,14,23,9
2015.05,3,2,14,24,8
2015.06,3,2,14,23,9
2015.07,3,2,14,24,8
2015.08,2,2,14,24,8
2015.09,2,2,14,23,8
2015.1,3,3,14,24,8
2015.11,2,3,15,22,8
2015.12,2,2,14,23,7
2016.01,2,3,14,23,7
2016.02,3,3,14,22,7
2016.03,3,3,14,23,7
2016.04,3,3,14,22,7
2016.05,3,3,14,22,7
2016.06,3,3,14,23,7
2016.07,2,3,13,100,6
2016.08,3,3,13,60,6
2016.09,3,3,14,35,7
2016.1,2,3,14,30,7
2016.11,3,3,14,28,7
2016.12,2,3,13,28,6
2017.01,2,3,14,25,6
2017.02,3,4,14,27,7
2017.03,3,4,14,25,7
2017.04,3,4,14,24,6
2017.05,2,4,13,23,6
2017.06,2,4,13,24,6
2017.07,2,3,14,28,6
2017.08,2,3,13,26,5
2017.09,2,4,14,25,6
2017.1,2,4,14,23,6
2017.11,3,4,14,23,6
2017.12,2,4,14,23,5
2018.01,2,4,14,23,6
2018.02,2,4,14,23,6
2018.03,2,4,14,22,6
2018.04,2,4,14,23,6
2018.05,2,4,14,23,5
2018.06,2,4,13,23,5
2018.07,2,4,13,25,5
2018.08,2,4,14,25,5
2018.09,2,4,14,25,5
2018.1,2,5,14,25,6
2018.11,2,5,14,25,5
2018.12,2,4,13,25,5
2019.01,2,5,14,24,5
2019.02,2,5,15,23,5
2019.03,2,5,14,23,5
2019.04,2,5,14,23,5
2019.05,2,5,14,23,5
2019.06,2,5,14,23,5
2019.07,2,5,14,24,5
2019.08,2,5,14,24,5
2019.09,2,6,15,23,5
2019.1,2,6,14,22,5
2019.11,2,6,14,23,5
2019.12,2,5,14,22,4
2020.01,2,5,14,23,5
2020.02,2,6,15,23,5
2020.03,2,5,16,24,4
2020.04,2,6,15,25,4
2020.05,2,5,15,26,4
2020.06,2,5,15,23,4
2020.07,2,5,14,24,4
2020.08,2,5,15,24,4
2020.09,2,6,16,24,4
2020.1,2,5,16,24,4
2020.11,1,4,16,23,4
2020.12,1,4,16,23,4
2021.01,1,4,15,23,4
2021.02,1,5,15,23,4
2021.03,2,5,16,23,4
2021.04,1,5,15,22,4
2021.05,1,4,15,22,4
2021.06,2,5,15,22,4
2021.07,1,4,15,24,4
2021.08,1,4,15,24,4
2021.09,2,5,16,23,4
2021.1,1,4,14,21,3
2021.11,1,4,14,19,3
2021.12,1,4,14,20,3
