,year,language,popularity_ranking
0,2017,c,4.888885619496693
1,2018,c,2.130576511129738
2,2019,c,1.7946517760036724
3,2020,c,1.0588986198742296
4,2021,c,0.27394700256394133
5,2017,c#,6.111474830992857
6,2018,c#,3.953059513830679
7,2019,c#,1.916712091534804
8,2020,c#,2.568189560059479
9,2021,c#,0.308616100433844
10,2017,c++,3.8119478303087364
11,2018,c++,1.512154233025985
12,2019,c++,0.7626161594295506
13,2020,c++,0.455972813696391
14,2021,c++,0.12164748950321018
15,2017,java,6.0614531304021595
16,2018,java,10.854056067802924
17,2019,java,15.051236643132674
18,2020,java,16.244002422864213
19,2021,java,17.05232763258092
20,2017,javascript,13.1527648023775
21,2018,javascript,35.67514203222502
22,2019,javascript,16.066058625465224
23,2020,javascript,25.61120935104675
24,2021,javascript,28.36342645959522
25,2017,kotlin,11.165137817141261
26,2018,kotlin,13.517742386141379
27,2019,kotlin,10.37564844542626
28,2020,kotlin,6.1243589698874255
29,2021,kotlin,4.430963958110648
30,2017,php,6.805158120066794
31,2018,php,12.941790071714632
32,2019,php,14.439370189636872
33,2020,php,7.761419956541908
34,2021,php,9.9843508757222
35,2017,python,5.1154544986427934
36,2018,python,3.1260128527521656
37,2019,python,11.53365656713187
38,2020,python,17.04387314143412
39,2021,python,18.95904068772312
40,2017,swift,36.87629192075974
41,2018,swift,13.005495017230139
42,2019,swift,19.164512788947803
43,2020,swift,17.627150960484293
44,2021,swift,15.80904313289879
45,2017,typescript,6.011431429811463
46,2018,typescript,3.283971314147341
47,2019,typescript,8.895536713291273
48,2020,typescript,5.504924204111196
49,2021,typescript,4.696636660868108
